"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"Glas Eileanan","2011-06-20",2,"C",39802,56.48931,-5.68153,"TS","Travelling",0.01093,2144.76947,1
"Glas Eileanan","2011-06-20",2,"C",39803,56.48926,-5.68137,"TS","Travelling",0.01093,2155.59588,1
"Glas Eileanan","2011-06-20",2,"C",39804,56.48922,-5.68122,"TS","Travelling",0.01076,2166.42366,1
"Glas Eileanan","2011-06-20",2,"C",39805,56.48917,-5.68107,"TS","Travelling",0.01076,2176.98853,1
"Glas Eileanan","2011-06-20",2,"C",39806,56.48912,-5.68092,"TS","Travelling",0.01076,2187.55561,1
"Glas Eileanan","2011-06-20",2,"C",39807,56.48907,-5.68077,"TS","Travelling",0.01076,2198.12486,1
"Glas Eileanan","2011-06-20",2,"C",39808,56.48902,-5.68062,"TS","Travelling",0.01076,2208.69627,1
"Glas Eileanan","2011-06-20",2,"C",39809,56.48897,-5.68047,"TS","Travelling",0.01093,2219.26978,1
"Glas Eileanan","2011-06-20",2,"C",39810,56.48892,-5.68031,"TS","Travelling",0.01093,2230.10727,1
"Glas Eileanan","2011-06-20",2,"C",39811,56.48887,-5.68015,"TS","Travelling",0.01093,2240.94599,1
"Glas Eileanan","2011-06-20",2,"C",39812,56.48883,-5.68,"TS","Travelling",0.01093,2251.78592,1
"Glas Eileanan","2011-06-20",2,"C",39813,56.48878,-5.67984,"TS","Travelling",0.01093,2262.62705,1
"Glas Eileanan","2011-06-20",2,"C",39814,56.48873,-5.67968,"TS","Travelling",0.01111,2273.46936,1
"Glas Eileanan","2011-06-20",2,"C",39815,56.48868,-5.67953,"TS","Travelling",0.01111,2284.43899,1
"Glas Eileanan","2011-06-20",2,"C",39816,56.48863,-5.67937,"TS","Travelling",0.01111,2295.41031,1
"Glas Eileanan","2011-06-20",2,"C",39817,56.48858,-5.67921,"TS","Travelling",0.01111,2306.3833,1
"Glas Eileanan","2011-06-20",2,"C",39818,56.48853,-5.67906,"TS","Travelling",0.01111,2317.35792,1
"Glas Eileanan","2011-06-20",2,"C",39819,56.48848,-5.6789,"TS","Travelling",0.01112,2328.33417,1
"Glas Eileanan","2011-06-20",2,"C",39820,56.48843,-5.67875,"TS","Travelling",0.01112,2339.24685,1
"Glas Eileanan","2011-06-20",2,"C",39821,56.48838,-5.67859,"TS","Travelling",0.01112,2350.16187,1
"Glas Eileanan","2011-06-20",2,"C",39822,56.48832,-5.67844,"TS","Travelling",0.01112,2361.07918,1
"Glas Eileanan","2011-06-20",2,"C",39823,56.48827,-5.67829,"TS","Travelling",0.01112,2371.99876,1
"Glas Eileanan","2011-06-20",2,"C",39824,56.48822,-5.67813,"TS","Travelling",0.01094,2382.92058,1
"Glas Eileanan","2011-06-20",2,"C",39825,56.48817,-5.67797,"TS","Travelling",0.01094,2393.84166,1
"Glas Eileanan","2011-06-20",2,"C",39826,56.48813,-5.67781,"TS","Travelling",0.01094,2404.76325,1
"Glas Eileanan","2011-06-20",2,"C",39827,56.48809,-5.67765,"TS","Travelling",0.01094,2415.68536,1
"Glas Eileanan","2011-06-20",2,"C",39828,56.48804,-5.67749,"TS","Travelling",0.01094,2426.60794,1
"Glas Eileanan","2011-06-20",2,"C",39829,56.488,-5.67733,"TS","Travelling",0.01094,2437.53103,1
"Glas Eileanan","2011-06-20",2,"C",39830,56.48796,-5.67717,"TS","Travelling",0.01094,2448.45461,1
"Glas Eileanan","2011-06-20",2,"C",39831,56.48791,-5.67701,"TS","Travelling",0.01094,2459.37865,1
"Glas Eileanan","2011-06-20",2,"C",39832,56.48787,-5.67685,"TS","Travelling",0.01094,2470.30317,1
"Glas Eileanan","2011-06-20",2,"C",39833,56.48783,-5.67669,"TS","Travelling",0.01094,2481.22815,1
"Glas Eileanan","2011-06-20",2,"C",39834,56.48778,-5.67653,"TS","Travelling",0.0105,2492.1536,1
"Glas Eileanan","2011-06-20",2,"C",39835,56.48775,-5.67637,"TS","Travelling",0.0105,2502.68745,1
"Glas Eileanan","2011-06-20",2,"C",39836,56.48772,-5.67621,"TS","Travelling",0.0105,2513.22129,1
"Glas Eileanan","2011-06-20",2,"C",39837,56.48768,-5.67605,"TS","Travelling",0.0105,2523.75515,1
"Glas Eileanan","2011-06-20",2,"C",39838,56.48765,-5.67589,"TS","Travelling",0.0105,2534.28901,1
"Glas Eileanan","2011-06-20",2,"C",39839,56.48762,-5.67573,"TS","Travelling",0.01037,2544.82289,1
"Glas Eileanan","2011-06-20",2,"C",39840,56.48759,-5.67557,"TS","Travelling",0.01037,2555.22617,1
"Glas Eileanan","2011-06-20",2,"C",39841,56.48756,-5.67541,"TS","Travelling",0.01037,2565.6295,1
"Glas Eileanan","2011-06-20",2,"C",39842,56.48753,-5.67525,"TS","Travelling",0.01037,2576.03288,1
"Glas Eileanan","2011-06-20",2,"C",39843,56.4875,-5.67509,"TS","Travelling",0.01037,2586.43631,1
"Glas Eileanan","2011-06-20",2,"C",39844,56.48747,-5.67493,"TS","Travelling",0.01007,2596.8398,1
"Glas Eileanan","2011-06-20",2,"C",39845,56.48745,-5.67477,"TS","Travelling",0.01007,2606.85248,1
"Glas Eileanan","2011-06-20",2,"C",39846,56.48743,-5.67461,"TS","Travelling",0.01007,2616.86588,1
"Glas Eileanan","2011-06-20",2,"C",39847,56.48741,-5.67445,"TS","Travelling",0.01007,2626.88,1
"Glas Eileanan","2011-06-20",2,"C",39848,56.48739,-5.67429,"TS","Travelling",0.01007,2636.89484,1
"Glas Eileanan","2011-06-20",2,"C",39849,56.48737,-5.67413,"TS","Travelling",0.01037,2646.91036,1
