"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33346,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33347,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33348,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33349,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33350,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33351,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33352,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33353,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33354,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33355,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33356,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33357,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33358,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33359,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33360,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33361,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33362,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33363,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33364,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33365,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33366,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33367,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33368,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33369,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33370,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33371,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33372,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33373,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33374,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33375,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33376,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33377,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33378,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33379,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33380,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33381,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33382,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33383,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33384,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33385,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33386,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33387,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33388,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33389,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33390,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33391,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33392,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33393,"Not-foraging","Not-foraging"
