"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36391,"Not-foraging","Not-foraging"
2,"Sandwich",36392,"Not-foraging","Not-foraging"
2,"Sandwich",36393,"Foraging","Not-foraging"
2,"Sandwich",36394,"Foraging","Not-foraging"
2,"Sandwich",36395,"Foraging","Not-foraging"
2,"Sandwich",36396,"Foraging","Not-foraging"
2,"Sandwich",36397,"Not-foraging","Not-foraging"
2,"Sandwich",36398,"Not-foraging","Foraging"
2,"Sandwich",36399,"Not-foraging","Foraging"
2,"Sandwich",36400,"Not-foraging","Foraging"
2,"Sandwich",36401,"Not-foraging","Foraging"
2,"Sandwich",36402,"Not-foraging","Foraging"
2,"Sandwich",36403,"Not-foraging","Foraging"
2,"Sandwich",36404,"Not-foraging","Foraging"
2,"Sandwich",36405,"Not-foraging","Not-foraging"
2,"Sandwich",36406,"Not-foraging","Not-foraging"
2,"Sandwich",36407,"Not-foraging","Not-foraging"
2,"Sandwich",36408,"Not-foraging","Not-foraging"
2,"Sandwich",36409,"Not-foraging","Not-foraging"
2,"Sandwich",36410,"Not-foraging","Not-foraging"
2,"Sandwich",36411,"Not-foraging","Not-foraging"
2,"Sandwich",36412,"Not-foraging","Not-foraging"
2,"Sandwich",36413,"Not-foraging","Not-foraging"
2,"Sandwich",36414,"Foraging","Not-foraging"
2,"Sandwich",36415,"Foraging","Not-foraging"
2,"Sandwich",36416,"Foraging","Not-foraging"
2,"Sandwich",36417,"Foraging","Not-foraging"
2,"Sandwich",36418,"Foraging","Not-foraging"
2,"Sandwich",36419,"Foraging","Not-foraging"
2,"Sandwich",36420,"Foraging","Not-foraging"
2,"Sandwich",36421,"Not-foraging","Not-foraging"
2,"Sandwich",36422,"Not-foraging","Foraging"
2,"Sandwich",36423,"Not-foraging","Not-foraging"
2,"Sandwich",36424,"Not-foraging","Not-foraging"
2,"Sandwich",36425,"Not-foraging","Not-foraging"
2,"Sandwich",36426,"Not-foraging","Not-foraging"
2,"Sandwich",36427,"Not-foraging","Not-foraging"
2,"Sandwich",36428,"Not-foraging","Not-foraging"
2,"Sandwich",36429,"Not-foraging","Not-foraging"
2,"Sandwich",36430,"Not-foraging","Not-foraging"
2,"Sandwich",36431,"Not-foraging","Not-foraging"
2,"Sandwich",36432,"Not-foraging","Not-foraging"
2,"Sandwich",36433,"Not-foraging","Not-foraging"
2,"Sandwich",36434,"Not-foraging","Foraging"
2,"Sandwich",36435,"Foraging","Foraging"
2,"Sandwich",36436,"Foraging","Foraging"
